HP1BP3	OR1Q1
OR4A5	MID1
FAM160B2	RPS26P11
C22orf39	TWIST1
MIR451A	BCL2L14
PHKB	TST
BCL7A	MIA3
NEIL1	ANKRD55
PEX26	NF1L4
CBX5	ZNF747
GHRHR	HLA-DMB
STRA8	C16orf61
CRLF3	TNFSF13
TOPAZ1	SRPRB
SEPT5	CLTCL1
C3orf33	ZNF146
RPSA	LCN8
COL6A2	PSMD7
TAS2R31	ODAM
OR6C3	ZNF791
PCGF1	HEYL
GAB3	FAM161A
TTC36	MUC22
MNX1	LINC00954
IDDM15	PPAP2A
GPR89C	SLC4A4
S100A6	OLR1
GPR116	PRM1
P2RX5	RNF208
FBRS	FAT1
TRMT5	CDH22
XRCC8	SDU
GPR19	HRASLS2
RCN3	TCF21
CLNK	LSMEM2
TRIM6-TRIM34	PDK2
ICR3	ECHDC1
BRD9	FAM208A
CD81	CDHR1
ARHGAP33	ORMDL1
SNRNP40	GAGE1
LAPTM4B	TTC4
HMGCS2	PRMT9
LRP2BP	BID
DECR1	ZNF284
P2RX5	KMT2E
ZNF830	HIST1H2AM
GLUL	NCK1
SPAG7	LILRA1
LINC01080	TBC1D5
SMC3	RASGRP4
USP17L1P	ZNF394
ARPP21	KIT
CORT	IMPG1
MCF2L2	OLA1
ENTPD1	AURKC
LEPR	PTGIS
MIR203	RP1
OR1E1	HCG21
CRYBA1	ENPP5
SLC25A40	TXK
MED19	LRRC20
FGD2	TLR8
ARHGEF28	KIF14
TACO1	FLII
RLN2	GGN
ACPT	STK3
CDK5	TMEM219
APBB3	LDB1
ANKRD34A	DPH7
KIAA1984	GGT1
STYXL1	PCDHA8
QRFP	TTC31
ELK1	KAT6A
ATAD3B	FBXO36
ZNF618	PLCG2
LURAP1L	LINC00341
BIRC4	SHISA3
MUC3A	YBX2
ZNF140	KLHL12
ZNF711	CCT8L2
TXLNB	TSC22D4
BPY2	ZNF480
GOLGA5	LEFTY2
ERVW-1	TMEM216
GRHL3	HTT-AS
SEPT1	CFM1
HAO1	PCSK1
MIR142	METT11D1
USP17L27	SLC7A3
TBPL2	ASB16-AS1
GSTA2	IL20RA
PFDN1	ABCC11
LENG8	MSRA
ARRDC2	COX6A1
CAPS2	MAATS1
HLA-DRB1	LINC00682
FANK1	GALNT2
LINC00557	FGF8
IFNA14	YWHAH
TECR	MYHK
GPR84	PGM1
BAZ2B	PDXK
OGFR	TIAF1
RYR3	ELOVL1
ATP1A2	UHMK1
CHRNA2	FLT1
SLC25A1	SMEK1
LINC00707	FCRL4
ZC3H7A	CDCP1
LINC00444	FCGR1C
ARL6	ST6GALNAC5
OR51E2	NBPF11
S1PR3	EIF3J
ZNF600	MIR338
BDH1	PDGFD
CHTF8	SRP9
KLHL28	HIPK4
MAPRE2	HOOK2
APMAP	C3orf26
RYR1	WDR44
CEBPZ	LMTK3
TBK1	CTLA4
TNIP2	PLEKHG2
CAPN5	OR51A2
TMEM98	CCDC109B
PTPN14	OR10G2
CMKLR1	MIR143
PCDHA3	TSPYL4
EIF3A	FSBP
PUS7L	FLNC
POU6F1	FREM1
C7orf36	VKORC1L1
SNORD9	TERC
CCDC170	PHF1
EHBP1	TMEM74
GRK3	FANCG
HSD17B12	LINC00441
PNMT	CACTIN
TEX22	ZNF775
EXOC6B	PANK4
TOR2A	RPS21
SALL1	CCNF
TIMM13	TTLL4
LINC00673	SASH1
ZFYVE20	FAM203A
RBM45	PTBP1
PMS2L11	DKK3
TMEM255A	MEF2BNB
RYR2	TAB2
RNF123	CTLA4
CCDC62	STARD6
GLRA2	MAP9
IKZF2	C10orf28
TSKS	PMS1
TMEM33	HDHD2
CCDC59	RAG2
CCL1	MESP1
PRPF18	NTN4
LINC00507	HIST1H3J
LINC00279	SERPINB7
SCN8A	C20orf27
OR51T1	TPGS2
CNKSR3	MVP
SELENBP1	CACNG5
TULP2	PRMT1
USP18	LINC00547
ETS1	SAFB
PRCC	CLEC11A
TMEM167B	CADPS2
TMED7	CCNJL
ADRB2	UBXN1
MMGT1	TCEAL8
NID1	KLF3
ETFA	LINC00899
P2RY1	COL1A1
SAP18	AGRP
MANBA	CDC42BPG
ZFAND4	CHRM1
ANKRD2	GUCA1A
ECSIT	RP22
PALM2-AKAP2	ZNF292
OR6K2	BRAP
C1QTNF3	TRIM50
PIK4CA	OAP
CD44	AMIGO3
LLGL2	LGALS3
CPLX2	PLEKHB1
KREMEN1	SLC37A2
FOXJ2	TNKS
PHKB	EVC2
OR51B4	LINC00293
ART5	AUTS2
PNO1	KRT2
CLIP4	INTS9
SYNGR2	ESX1
ST3GAL3	SYNPO2L
RPL36A	KRTAP19-3
RPL13A	METTL17
DTNB	RPS4Y1
SPC25	DTL
FTSJ2	CPEB2
NAE1	SLC6A15
CLEC2B	MYBL1
EAPP	SNX3
C8G	RBP3
KRTAP11-1	CH25H
LINC00691	MYPN
PPWD1	AK9
WFDC2	GALNT18
MIDN	OOSP2
CARNS1	SLIT1
PLEKHA8	EEF1A1P6
KLHL1	SQRDL
ZSCAN31	CYP4F8
LASP1	PCK1
DTX3	VRK2
DPP10	ZNF337
GLYAT	MMP11
SLC26A4	FKBP7
COL28A1	LINC00859
OXCT1	BAALC
TRAPPC6B	HERC2
CIC	PRPF18
GRIK5	CDK5RAP1
WWP2	KLRF2
BRCA3	VCAM1
UPK1A	DHH
USP24	LINC00693
IKBIP	KRT20
COMMD4	ADH7
SALL4	TAAR3
WASH2P	LRRC72
NRG1	SPG20
DDX39B	SNTG2
ADCY10	TRA2A
LINC00350	TMED9
DDX53	SERF2
TCF24	FBXL14
AGAP9	ITCH
HYPM	G3BP2
WFDC2	KDELR3
SLC39A11	FAM120C
LINC00889	IDH3A
MACROD2	SORBS2
TRAPPC8	ALG6
ZNF784	EXTL2
ASIC1	TREX2
PSMF1	SNF8
EPB41L1	ZNF117
CYP1B1	SNORD8
TM9SF3	KRT13
RPS15A	ZNF723
GPR144	ANKLE2
PAFAH1B2	ARPC1B
ATP6AP1	FAM46A
NOL8	CLEC4C
LRTOMT	DEC1
CCNY	NOL8
SCNM1	GPR155
AKAP10	SLPI
RAB4B	MRPL40
UTP15	DNASE1L3
BMP8B	RNLS
MRPL36	PTPRB
NFE2L2	PKDREJ
FOXN2	CSNK2A3
MCRS1	FAM135A
DCAKD	KIAA0368
EBNA1BP2	DUX4L2
TADA2B	SLC41A3
FKTN	CAPZA1
SSRP1	MYL5
ATP9B	PDIA2
ZNF616	ADAMTS5
TLR10	HEATR3
IDDM9	MACC1
YIPF3	AKR7A3
TIMM50	TSPEAR
OR2G2	CXCR3
PITHD1	FAM92A1
MSANTD2	LINC00452
PFDN1	PLEKHD1
RNF217	TM7SF2
YWHAG	SYF2
GRHPR	H2AFB2
TBX15	DNAJB3
OTUD4	C9orf169
ZNF20	TBRG4
CPA6	MRPS14
NEK4	CRYAB
KIF26A	SSBP3
OR13C9	SPIN2A
ULK3	LACE1
ALDH5A1	PQBP1
MICALL1	GPR152
SMARCD3	KCNK18
PLCD1	BAK1
C12orf45	HLF
DNAJC25	HIST1H1B
CELF1	PCDHA7
SARDH	HCG20
PRX	GGT5
RNF167	DEK
C6orf118	LINC00424
EXOC5	LOC390956
ZSCAN16	NBAS
LRCH1	FDPS
ASPSCR1	MTMR4
RXFP2	TRIM35
H1FX	RNF2
AFMID	TXNL4A
MSX2	KCNH2
TMEM55B	SLC10A3
SOCS7	LINC00505
BPI	KMS
CDY2B	PPM1H
LINC00706	LGI3
EDN3	S100A10
ILF3	MRPL40
CYP2A	RXRB
RAB15	CDK4
FHIT	PRKAR1B
C14orf93	LINC00626
GBA	PROS1
TNNI2	UCN
SLC16A7	KRTAP12-2
CHID1	GORAB
DDX46	LINC00641
RPS18	MADCAM1
LINC00518	ZNF277
TRNAP3	OR10J1
OR10H5	NLRP5
HSBP1	TRIM72
ABTB1	CECR5
CT60	SLC11A1
MED8	SPECC1L
EPHX1	SERPINA5
NAA50	FAM160B2
LINC00085	MUC4
PCDHA3	OTUD1
SVOPL	ZBED5
OR2A4	HIF1AN
REG1A	HCN1
CAPN6	HIST1H4E
NSUN4	UQCR10
SCA38	GPR33
OR2T6	CASP2
OR3A4P	ACBD7
PCBP1	DAZ2
SLC25A31	DYRK1B
CASQ2	SH2D7
ADCP1	EIF3K
LPXN	ZNF641
LINC00310	LINC00657
PRDM5	ASB1
DHX35	CBX2
SGCG	AADAT
MTMR12	ZNF444
MAEA	PAFAH1B1
NDUFS5	STRA6
FBN3	DOCK9
MRPL37	CROCC
JTB	LINC00493
NSG1	MAN1A2
RPL39L	CCNY
ZBTB21	TMEM210
TRAJ54	RABL2B
DLK1	GORASP2
SRMS	HES3
SMARCAL1	SLC4A2
INTS9	RPS26
TRAIP	MYOM3
MLKL	PDXP
OR1G1	XRCC3
GBAS	SIPA1
PPP1R2P3	OR5K1
IRF3	LINC00319
GSTM1	NT5C
IRF4	CES4A
SHC4	CCDC28B
MT1E	MAZ
CNTN1	TRAC
RAD54L	IDDM12
PAAF1	DUS1L
HAUS1	MAP3K4
SP6	HIST1H2AM
TBC1D29	LINC00870
WDR55	ZNF621
ATG16L2	PRAM1
ADPGK	DBH
ZFHX4	CRX
NAT8	DLG2
KRTAP2-3	CBWD7
NAA25	ABCA10
MRPL11	CARHSP1
TINAGL1	ASAP1
SYNGR3	PPP2R5A
TRIM40	MTERF
VAMP4	HCG15
OR9G4	LINC00476
ABCA10	SLC25A28
MEF2A	QTRT1
LINC00470	ACYP1
AUH	DERA
HSPE1-MOB4	KIAA1217
SPG18	NPIPA1
DBF4	ATP6V1E1
TIMM8B	ASPM
HOXC10	ATG101
METTL2B	XYLB
HAUS8	MSH3
STX5	APOM
ZNF124	C10orf11
C20orf11	LAMB2
EDA2R	ZBTB32
MTHFD2	ATOX1
ERVK-6	PACSIN3
MTF1	POU5F1
VAT1	DOK4
LAYN	TAF15
CCIN	TMEM115
FBXO47	NUP43
COMTD1	HSDL2
CLDN7	THOC3
MLN	PRKG1
TCP10	PLA2G5
DDX19A	TLR1
ZNF827	MARCH1
C1QTNF2	CREG1
CNGA3	GPR162
RPP40	MTIF2
LINC01078	NAP1L5
ZNF816	KRTAP10-3
NOA1	TBC1D10C
MSTN	PNKD
VPS41	PLAC8
NAT2	NUP205
PSMA2	SFT2D3
BHLHE41	RAPH1
DAGLB	TRAM2
GPRC5B	PDGFC
GPR158	SNORD112
FUT5	RAP1GDS1
SRSF8	SSX1
FGD2	SIX1
EIF4B	AK7
C9orf6	IST1
NEUROD6	TMEM106B
PRTN3	OR2T11
LRP5	TFPT
C20orf112	KIAA0125
RPL12	POLR1B
URM1	FUBP1
SOX18	NDUFAF4
PGLS	ZSCAN20
DEFA6	SLC7A2
EML5	CPLX4
GGN	ZMYM6
NUDT3	EIF4G1
NEDD4L	CSE
MAP2	ZFAND5
C2orf61	DOK7
S100A10	TAS1R3
RPH3AL	ARHGEF10L
TMEM9B	DSTN
LPIN2	TBC1D8
ULK4	RAB28
USP46	MIPOL1
MTIF2	UTP6
FOLR3	PADI4
USP12	UGGT2
PRODH2	PIAS3
KRT24	RASSF9
TNNI2	ATG4A
ADI1	NCAPG
BPIFB1	KAT2B
FAM199X	NDUFS4
HBEGF	STAU2
SLK	ADH7
RYR1	EPCAM
HOXC5	FAM107B
ZNF146	LOC390956
ZNF324B	PYGL
TYR	LINC00380
GSK3A	ADCY4
TMEM160	TAF1B
UBAP2L	CIDEC
C14orf156	AVPR1A
TNFSF14	PRSS16
LOC646670	ITPRIP
FBL	DDEF1
LDHAL6A	SEPT1
PLEKHG7	DRG2
REG1A	TMEM165
GABBR2	SLC20A2
LAMB1	CIDEC
SMAD4	ZNF831
G6PD	BCDIN3D
FAM98C	HYOU1
ARNT2	GGT2
SNORD71	POLR2J
OR10S1	PDIA3
ANKRD32	SMPD4
LEO1	TBCD
RAD21L1	ACLS
LRRTM3	NXPE4
LSM11	RAB6A
SEPSECS	NFATC3
SNORD8	SLC35C2
SCOC	GTF2F1
EIF1AX	AOM
MTPAP	KRTAP21-1
ANKRD22	BTBD3
DLEU1	TM4SF5
RLN2	FBXW11
ZNF773	PSMG1
NUP107	DNMT3B
PPP2R5B	CDC25A
CNTF	PER1
TMEM186	CHST5
CYLD	SNX1
SLC26A7	SLC48A1
POP7	RBFA
PLK1	IGHV@
BCRP7	DNHD1
PRICKLE2	KLB
FBXO9	ZNF623
DMRTC1B	SMPDL3A
OR13C8	GJC1
NAA35	ACBD3
SGMS2	ARHGAP6
CHORDC1	PRMT2
HMGCR	ZNF585A
ONECUT2	TTC9
ZP3	LTB4R
UBA3	IRGQ
TCF7L1	CABP1
RFPL4AL1	TTF2
NOL4	TRNAE1
TNIK	SERGEF
SPIN3	MRX39
MORN1	NIN
DSCR9	CLCF1
KIF6	GGTLC1
IPO9	ZNF660
ARID5A	FOXK1
EHF	UQCRH
LBH	MYBPC3
RHOC	C6orf203
DSG2	TUBB
KIAA1109	ATG2A
PIK3CA	SHPRH
KCNK17	HBEGF
ST3GAL1	GUCD1
PHACTR2	LINC00221
TAS2R43	GBA
MS4A7	UGT2B15
MT1A	SCA21
PTGER3	LGALS7
UGT1A	NOP58
TEFM	GPR135
UHRF2	MLF1
CUL9	ZC3H3
TSHB	VIM
C1orf64	C12orf45
PROP1	TMED10
SNORD118	MYPN
KLHL41	PRCC
HTR3A	CTNNA3
BARX1	OR2B3
BCL2L2	TMC6
INPP3	AKAP10
CDC42BPA	CD2
HPGDS	IL17F
LRPAP1	OR2A42
HMGN2	FTH1
PTPLAD1	INTS4
SERPINA4	BCRP1
MCM2	SLA
ANXA2P2	VPS13C
ATP6V1F	MLLT10
NR1D2	ATPIF1
HCG27	UCP2
C19orf60	ZNF423
MIRLET7A3	TGFB1I1
LPAR1	UBA7
DUSP28	JARID2
LRRC61	ZNF626
SLC27A1	ATP6V0C
BANF1	NAT16
EXOSC6	LINC00598
PRRT3	ATP2B2
CCSER2	KCNIP2
PIK3CA	RGS22
OVOL1	OR2AJ1
ZNF324	OGFOD3
FOLR4	PITPNC1
POLK	ZNF846
C18orf55	ORC1L
VANGL2	PYCR1
PCIF1	CCT8
USP9Y	DEFB118
SLBP	PMS2P1
KIR3DL1	HIST1H1D
MICA	ALG10
TMEM52	DCUN1D1
ZNF474	KCTD17
LINC00305	GSTA1
LINC00160	KRT36
DNAJC13	C7orf34
OSGEP	PTPN3
GJD3	HES7
HS6ST1	SMPD2
RAB3GAP2	PLCL2
MIR744	SLC15A1
DDTL	EPDR1
ARHGAP24	HR
NRAS	DRG2
AKT1	PTPRN
RFWD3	PVRL4
AGTR1	CCDC89
KRT27	ARL4D
PIGN	UGT2A1
LINC00364	KAL1
GNG4	TCEAL7
USP21	SLC25A16
DAD1	AP4S1
NSMAF	FAM160B1
XRN2	ANKRD61
RNF39	LPCAT2
CAMKK1	HAUS5
TRA2B	LINC00265
HSD17B11	TMEM136
TRIB1	DNAJC1
COPS2	ZNF782
B3GAT2	GRIN3A
COL4A6	IDE
CSDA	KLRAQ1
SLC7A3	C5orf4
LUC7L3	GPI
DCAF8	HKR1
OR4K2	SH3BP2
SSTR1	MYB
PBX2	LINC00391
SNORD85	NKX2-3
ACBD3	BIRC8
ZNF582	SPRR2G
TYK2	ABHD2
DMXL2	ZNF653
LNX1	OSER1
HEYL	CD1B
HMGB3P1	RFC1
TCEB3	PLD6
ABI3BP	SPRED1
TMEM89	PAX6
SLC44A3	CXXC4
CCT	SLC9C1
LDHAL6B	KCNV1
GPR50	ZNF496
C22orf46	ZFYVE21
EVA1C	CCDC30
RUNX3	EVC2
SHH	KRTAP5-7
TMEM35	WHAMM
DOCK1	CNBD2
MMS22L	LIPF
POTEE	CD1B
FAT2	BCL2L12
GTPBP10	ZRSR2
FUT1	SEMA3D
TMEM255A	TVP23B
TRAPPC2B	MRT11
MAT2A	ZNF765
C6orf48	OSCAR
SLC22A3	CFP
SLCO4C1	MRPS7
CYB561D2	PDCD4
KANSL1L	NAPG
LINC00948	CLDN11
CYP21A2	LPCAT1
TRAJ16	MRT4
GPRC5B	HEPN1
PTPRU	PFKM
HSPBAP1	LPCAT2
ATP1B1	IK
NBPF16	SLC9C1
AGTR2	GNPDA1
LINC00354	GJA9
TSPAN12	HAUS6
KDM4D	DNAAF4
TGOLN2	IL17C
OPA4	RORA
OSM	TIMM50
LINC01078	RPN1
SLC9A3R2	GRM2
CLEC4C	C1orf106
MUM1L1	KCNN2
SEC31A	C7orf25
TOLLIP	ABCB10
JKAMP	LINC00838
GABRB3	POTEJ
ADRA2B	ACACB
CDC42BPG	ZBED6
COX15	WISP1
DHRS9	ANGPT4
LINC00403	FEV
PLCL1	ZNF561
C18orf8	C7orf50
TMEM102	ANKS4B
OR7G1	UBD
XRN1	EIF2AK1
SUPV3L1	ASCL1
TSPY4	CLEC17A
RUVBL2	CTTNBP2
ATL3	PKNOX1
KIF27	OR10A2
SNORD5	LINC00628
ZEB1	IGHD
ADAMTS6	UBR3
RBM3	CISH
C19orf20	JUND
PCGF1	DACH1
LINC00632	LINC01038
LINC00703	PLEKHO1
ILF3	LINC00408
MAEA	LINC01070
ST8SIA2	PRODH2
PSME1	LINC00884
MT-CO1	LINC00116
KRT71	LINC01066
MAP7D3	LINC00994
KCTD16	MAPK4
KIR3DL2	KNTC1
SEL1L	XK
MIR150	LOC101927302
SLC6A19	ZBTB38
UNCX	TBCC
CDYL2	TLE3
UBD	WFIKKN2
DBNDD2	EIF3L
HSD17B11	ARHGAP15
UBAP2L	LINC00886
MRPL57	HIST2H3C
RMDN3	TMEM253
ZNF768	AP1S1
TEKT5	LRRC40
LYRM2	TGIF1
SEPT12	CCL5
SNORD33	VEZF1
BPIFB3	ETV3
BMP3	IL13
PTCD2	REPS2
WDR45L	RGS10
OR52N2	FAM111B
RGS10	FCGR2B
TF	ZBTB46
SRSF10	EMR3
ZNF136	METTL17
USP36	GUK2
GTF3C6	RND1
RIIAD1	LINC00595
GDI2	LINC00900
SCX	PLA2G15
ARID5A	KDSR
OR9Q1	KHDRBS2
CCDC91	NFAM1
FEZ2	METT11D1
FSCB	ZNF285
DVL2	OTUB1
IFITM3	VSTM4
CETN1	GGT3P
RNASE11	CDK17
NTN5	ADSL
RPL9P9	TMEM98
RDH11	OR2F1
PAX4	CCM2
ZNF26	CSDE1
POLR1D	NAMPT
AQR	CBS
ONECUT3	MT1E
C20orf194	B3GNT4
RPP25L	BBC3
FAM3A	KRT80
AKAP7	MAP3K6
PPARBP	PEX1
MIRLET7A2	FKRP
FES	H2BFM
IGSF6	AHNAK
KRT5	NUP98
CRHBP	PRPF3
FOXG1	TAS2R50
OSBP2	HABP2
P2RX3	TUBGCP4
SNORD47	FOXN1
SUFU	CPEB1
HMHA1	IMMT
LANCL2	GRID1
PIGW	WWC3
PCDH7	EDG7
OR5T1	CXorf57
OR4F21	ARL6IP1
SSX5	DUSP15
TGFBI	PHYH
POLE4	TDP2
TCEA3	LINGO1
ELK1	SEC23IP
OR1A2	IL29
CA12	PSMC1
MIR1236	IDO1
OR10K1	TSNAXIP1
ZNF263	SNAPC3
TM4SF1	HES7
ARC	ITGA2
PIGO	STARD4
KRT86	MT1IP
SLC25A47	TSC2
TMEM14C	KIAA0586
SLC25A15	UBIAD1
PRRX2	UNC45B
SUN3	MMP17
BICC1	PHF11
ZFYVE16	PRDM15
PGAP1	KANK3
TRIML2	NFATC4
CYP39A1	IL7
ZNF440	SRP9L1
KCNQ1	C21orf2
ZC2HC1C	OR10AG1
CER1	FAM83C
TRAF3IP2	COL4A6
TMEM59	ZNF704
VWA8	CSTB
MRPL1	VMA21
DSG3	LDHC
CHRM5	ZNF541
PIAS1	TEX35
FGF18	MAPK1IP1L
SLC5A12	ASNSD1
MIR1236	HCK
MTCH1	C9orf169
SORCS3	LPAR1
DOC2A	PGP
FRA1C	HIPK1
LTF	DOCK4
LINC00550	TTN
PHYKPL	CT45A5
ZNF444	OLFM4
TEX14	TIMP4
POU2F3	PROCR
TP53RK	AMZ1
MSH2	RAMP3
MC2R	ZBTB17
TJP2	RRN3P2
EPHA5	ARL13A
INIP	UGT1A9
UHRF2	CARD16
ZNF250	POLR3E
B4GALT4	ZNF791
CCDC38	TTI2
ZNF474	TRPM3
MYO1D	TICRR
LIMD1	PCDHGB2
ZNF345	CALM3
SPEF1	C1orf105
NKAP	RABL6
MIR96	ZNF345
NMRK2	ZNF713
CARD9	MZT1
RNF175	POU5F1B
AKR1D1	DSCR8
SUCLG1	LINC00538
HIST2H2BE	COG5
FBXO34	LINC01076
OR4A47	CLPTM1L
PNPLA2	STARD13
C1orf151	OR10A2
LINC01024	DTWD1
LINC00837	NOL10
PCDH7	PROM2
RANBP1	CD276
MSANTD4	CDK5RAP2
DEFB130	KIAA1199
NOMO2	RBMX2
UBE2S	MARCO
SRSF6	PRDM15
PPP3CC	ENAH
SLC6A4	NCOA6
LINC00113	GLTSCR1
DHRS3	CDAN1
ZFPM1	KCNJ3
GH2	PLD3
RAD51B	ZFP36
ETS1	DSE
SNUPN	PCDH17
PI15	ZXDC
NGB	NKX6-1
RNF182	PON1
NPC2	OR1D2
HTR1B	OR5AU1
KLK8	PTP4A1
EDG4	LINC00278
DFNA5	FSCB
LGALS13	IL4R
ATPAF2	TGFB1
SNORD110	AMMECR1
ATP4B	MS4A3
IGLC3	ZNF85
TRIL	PRKRIR
HSPA8	ZNF737
KCNB1	CD55
OPN1LW	CD44
SLC8A3	NGB
ITGA3	MTMR10
LINC00930	GDAP1
LEPREL1	NDUFAF4
DENND3	CCDC102A
NYNRIN	KLF1
SELS	S100A13
PI4K2B	ADD2
TECPR2	CNOT6L
FAM206A	SCNN1D
MORN2	TLL2
MCM6	ZNF140
DCAF11	THY1
RAB24	METTL5
TLK2	SULT4A1
UBE2L3	HMOX2
PAK4	CCDC3
ZNF583	AJUBA
